Address,Postcode,Name,OwnerEmail
Glenroy Crescent,17723,vqksbrrq,xzitxslb@di.uoa.gr
Edgehill Crescent,14958,prjlrlha,ysaxlgwo@gmail.com
Russell Avenue,15893,tqwyobrw,rcsewpnw@hotmail.com
Plane Tree Drive,11800,tedvgoao,znifrcqj@gmail.com
Walmer Gardens,16705,zxoykgis,hkgnxisg@di.uoa.gr
Rosewood Avenue,16444,xdhinjqa,ehalbnqr@gmail.com
Butternut Lane,15172,gwbqygry,lpxxhidz@di.uoa.gr
Montebello Drive,10884,qcrukvpd,aycltqnq@gmail.com
Invicta Court,12914,rrldrfmz,wkpccfym@di.uoa.gr
Exeter Road,18719,uqnpigol,nmjtthna@gmail.com
