id_events,day,price,time,eventsgroup_id_events_group,location_id,organiser_login_email,importance,spots,price
1,18/3/2017,32.99,2:56,2,2,edutnall3@github.io,1,10,10
2,17/5/2017,42.13,8:43,3,3,edutnall3@github.io,5,20,5
3,21/5/2017,47.66,6:00,4,4,edutnall3@github.io,6,50,4
4,21/1/2017,73.89,5:50,5,5,edutnall3@github.io,1,50,3
5,24/3/2017,72.9,8:29,6,6,edutnall3@github.io,5,50,5.5
6,7/2/2017,43.01,11:29,7,7,edutnall3@github.io,5,50,4.2
7,14/5/2017,36.63,11:13,8,8,edutnall3@github.io,8,50,4.8
8,24/5/2017,62.74,6:31,9,9,edutnall3@github.io,1,50,4.9
9,25/3/2017,31.46,12:24,10,10,edutnall3@github.io,5,50,11.5
10,29/3/2017,82.29,5:44,11,1,edutnall3@github.io,5,50,50
11,24/4/2017,67.43,10:13,12,2,edutnall3@github.io,4,10,40
12,25/5/2017,96.89,4:53,13,3,edutnall3@github.io,6,20,40.2
13,4/3/2017,20.28,11:25,14,4,edutnall3@github.io,3,50,20
14,12/1/2017,43.9,6:38,15,5,edutnall3@github.io,2,50,18.9
15,3/4/2017,85.35,11:29,16,6,edutnall3@github.io,1,50,18.99
16,14/3/2017,24.9,6:13,17,7,edutnall3@github.io,5,50,21.1
17,16/2/2017,48.83,12:51,18,8,edutnall3@github.io,1,50,3
18,16/5/2017,8.1,12:22,19,9,edutnall3@github.io,1,50,5.5
19,25/2/2017,22.6,2:08,20,10,edutnall3@github.io,1,50,4.2
20,10/5/2017,88.54,4:10,21,1,edutnall3@github.io,1,50,4.8
21,14/2/2017,31.08,11:18,22,2,edutnall3@github.io,1,10,4.9
22,16/5/2017,18.8,9:37,23,3,edutnall3@github.io,1,20,11.5
23,21/5/2017,80.42,9:23,24,4,edutnall3@github.io,1,50,50
24,29/5/2018,37.42,10:30,25,5,edutnall3@github.io,1,50,40
25,7/5/2018,44.74,10:58,26,6,edutnall3@github.io,1,50,40.2
26,29/5/2018,31.72,1:30,27,7,edutnall3@github.io,1,50,20
27,22/1/2018,57.34,5:25,28,8,edutnall3@github.io,1,50,18.9
28,2/5/2018,6.65,4:39,29,9,edutnall3@github.io,1,50,18.99
29,26/4/2018,57.87,11:22,30,10,edutnall3@github.io,1,50,21.1
30,15/2/2018,20.49,2:40,31,1,edutnall3@github.io,1,50,3
31,3/6/2018,19.13,7:06,32,2,edutnall3@github.io,1,10,5.5
32,19/2/2018,87.98,3:12,33,3,edutnall3@github.io,1,20,4.2
33,22/2/2018,14.11,4:10,34,4,edutnall3@github.io,2,50,4.8
34,31/5/2018,75.95,12:44,35,5,edutnall3@github.io,2,50,4.9
35,2/5/2018,90.29,8:06,36,6,edutnall3@github.io,1,50,11.5
36,18/5/2018,99.14,12:23,37,7,edutnall3@github.io,1,50,50
37,1/4/2018,59.65,5:09,38,8,edutnall3@github.io,1,50,40
38,11/4/2018,58.74,5:48,39,9,edutnall3@github.io,1,50,40.2
39,18/2/2018,33.51,12:16,40,10,edutnall3@github.io,11,50,20
40,22/2/2018,53.31,12:11,41,1,edutnall3@github.io,1,50,18.9
41,17/2/2018,78.97,5:19,42,2,edutnall3@github.io,1,10,18.99
